,state_name,dist_name,sub_dist_name,village_name,village_code
10,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Perka,645020
11,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Sawai,645014
12,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Small Lapati,645026
13,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Tamaloo,645021
14,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Tapoiming,645024
15,Andaman and Nicobar Islands,Nicobars,Car Nicobar,Teetop,645013
16,Andaman and Nicobar Islands,Nicobars,Great Nicobar,7 km Farm,645196
17,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Afra Bay,645166
18,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Akupa,645144
19,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Alexandera River,645168
20,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Anul/Anula,645142
21,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Ayouk,645169
22,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Bahua,645162
23,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Bewai/Kuwak,645148
24,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Campbell Bay,645200
25,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Chaw Nallaha,645204
26,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Chingen (incl.FC at Magar Nalla,645189
27,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Dairkurat,645167
28,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Dakhiyon (FC),645184
29,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Danlet,645179
30,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Dogmar River,645174
31,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Elahi/Ilhoya,645159
32,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Galathia River (FC),645190
33,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Gandhi Nagar,645192
34,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Gol Tikrey,645205
35,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Govinda Nagar,645199
36,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Hin-Pou-Chi,645182
37,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Hoin incl. Ikuia,645151
38,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Hokesiang,645154
39,Andaman and Nicobar Islands,Nicobars,Great Nicobar,In-Hig-Loi,645186
40,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Indira Point,645188
41,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Inlock/Infock,645145
42,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Inlock/Pattia,645157
43,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Inod,645160
44,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Joginder Nagar,645195
45,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Kasintung,645177
46,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Katahu,645165
47,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Kiyang,645149
48,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Koe,645178
49,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Kokeon,645183
50,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Kondul,645163
51,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Kopenheat,645175
52,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Lanaya,645210
53,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Lawful,645207
54,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Laxmi Nagar,645193
55,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Makhahu/Makachua,645143
56,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Minlana/Minlan,645141
57,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Navy Dera,645206
58,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Not yet named,645202
59,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Not yet named,645203
60,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Not yet named (at 27.9 km)-A,645197
61,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Olinchi/Bombay,645156
62,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Patatiya,645181
63,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Patisang,645209
64,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pattia (Pulopattia),645155
65,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pea,645152
66,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pehayo,645161
67,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pitayo,645211
68,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulloullo/Puloulo,645150
69,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobaha,645187
70,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobaha/Pathathifen,645147
71,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobed,645170
72,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobed/Lababu,645164
73,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobha/Pulobahan,645153
74,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulobhabi,645180
75,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulokunji,645171
76,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulomilo,645140
77,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulopanja,645158
78,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulopucca,645185
79,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Pulotalia/Pulotohio,645146
80,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Ranganathan Bay,645201
81,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Renguang,645173
82,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Sastri Nagar,645191
83,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Shompen hut,645198
84,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Shompen Village-A,645172
85,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Shompen Village-B,645176
86,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Trinket Bay,645208
87,Andaman and Nicobar Islands,Nicobars,Great Nicobar,Vijoy Nagar,645194
88,Andaman and Nicobar Islands,Nicobars,Nancowry,Al-Hit-Touch/Balu Basti,645094
89,Andaman and Nicobar Islands,Nicobars,Nancowry,Alhiat,645030
90,Andaman and Nicobar Islands,Nicobars,Nancowry,Alhitoth/Alhiloth*,645053
91,Andaman and Nicobar Islands,Nicobars,Nancowry,Alipa/Alips*,645085
92,Andaman and Nicobar Islands,Nicobars,Nancowry,Alkaipoh/Alkripoh*,645052
93,Andaman and Nicobar Islands,Nicobars,Nancowry,Alointung*,645115
94,Andaman and Nicobar Islands,Nicobars,Nancowry,Aloora*,645035
95,Andaman and Nicobar Islands,Nicobars,Nancowry,Aloorang,645034
96,Andaman and Nicobar Islands,Nicobars,Nancowry,Alpintu/Alpintung*,645117
97,Andaman and Nicobar Islands,Nicobars,Nancowry,Alreak*,645101
98,Andaman and Nicobar Islands,Nicobars,Nancowry,Alsama*,645076
99,Andaman and Nicobar Islands,Nicobars,Nancowry,Altaful*,645074
100,Andaman and Nicobar Islands,Nicobars,Nancowry,Altheak,645093
101,Andaman and Nicobar Islands,Nicobars,Nancowry,Alukian/Alhukheck,645121
102,Andaman and Nicobar Islands,Nicobars,Nancowry,Atkuna/Alkun*,645066
103,Andaman and Nicobar Islands,Nicobars,Nancowry,Banderkari/Pulu,645116
104,Andaman and Nicobar Islands,Nicobars,Nancowry,Bengali,645044
105,Andaman and Nicobar Islands,Nicobars,Nancowry,Berainak/Badnak,645129
106,Andaman and Nicobar Islands,Nicobars,Nancowry,Bompoka Island*,645045
107,Andaman and Nicobar Islands,Nicobars,Nancowry,Bumpal*,645109
108,Andaman and Nicobar Islands,Nicobars,Nancowry,Champin,645096
109,Andaman and Nicobar Islands,Nicobars,Nancowry,Chanel/Chanol*,645113
110,Andaman and Nicobar Islands,Nicobars,Nancowry,Changua/Changup,645119
111,Andaman and Nicobar Islands,Nicobars,Nancowry,Chengtamilan*,645065
112,Andaman and Nicobar Islands,Nicobars,Nancowry,Chonghipoh*,645050
113,Andaman and Nicobar Islands,Nicobars,Nancowry,Chongkamong,645029
114,Andaman and Nicobar Islands,Nicobars,Nancowry,Chonsiyala*,645059
115,Andaman and Nicobar Islands,Nicobars,Nancowry,Chota Inak,645128
116,Andaman and Nicobar Islands,Nicobars,Nancowry,Chukmachi,645039
117,Andaman and Nicobar Islands,Nicobars,Nancowry,Daring,645111
118,Andaman and Nicobar Islands,Nicobars,Nancowry,E-Wall,645083
119,Andaman and Nicobar Islands,Nicobars,Nancowry,Enam,645036
120,Andaman and Nicobar Islands,Nicobars,Nancowry,Hakonhala*,645069
121,Andaman and Nicobar Islands,Nicobars,Nancowry,Halnatai/Hoinatai*,645073
122,Andaman and Nicobar Islands,Nicobars,Nancowry,Hindra*,645087
123,Andaman and Nicobar Islands,Nicobars,Nancowry,Hinnunga*,645097
124,Andaman and Nicobar Islands,Nicobars,Nancowry,Hintona*,645102
125,Andaman and Nicobar Islands,Nicobars,Nancowry,Hitlat*,645048
126,Andaman and Nicobar Islands,Nicobars,Nancowry,Hockook*,645136
127,Andaman and Nicobar Islands,Nicobars,Nancowry,Hoipoh*,645063
128,Andaman and Nicobar Islands,Nicobars,Nancowry,Hontona*,645060
129,Andaman and Nicobar Islands,Nicobars,Nancowry,Hutnyak*,645057
130,Andaman and Nicobar Islands,Nicobars,Nancowry,Inmae*,645123
131,Andaman and Nicobar Islands,Nicobars,Nancowry,Inroak/Chinlak*,645099
132,Andaman and Nicobar Islands,Nicobars,Nancowry,Itoi*(HITUI),645100
133,Andaman and Nicobar Islands,Nicobars,Nancowry,Jansin*,645047
134,Andaman and Nicobar Islands,Nicobars,Nancowry,Japan Tikri,645082
135,Andaman and Nicobar Islands,Nicobars,Nancowry,Jhoola*,645046
136,Andaman and Nicobar Islands,Nicobars,Nancowry,Kakana,645131
137,Andaman and Nicobar Islands,Nicobars,Nancowry,Kalara*,645038
138,Andaman and Nicobar Islands,Nicobars,Nancowry,Kalasi,645043
139,Andaman and Nicobar Islands,Nicobars,Nancowry,Kalminikum/Kalmenkam*,645068
140,Andaman and Nicobar Islands,Nicobars,Nancowry,Kamorta/Kalatapu(Incl.Sanuh),645127
141,Andaman and Nicobar Islands,Nicobars,Nancowry,Kamriak*,645056
142,Andaman and Nicobar Islands,Nicobars,Nancowry,Kanahinot,645042
143,Andaman and Nicobar Islands,Nicobars,Nancowry,Kapanga*,645077
144,Andaman and Nicobar Islands,Nicobars,Nancowry,Kapila*,645139
145,Andaman and Nicobar Islands,Nicobars,Nancowry,Karan/Karav*,645110
146,Andaman and Nicobar Islands,Nicobars,Nancowry,Katahuwa*,645054
147,Andaman and Nicobar Islands,Nicobars,Nancowry,Kavatinpeu/Karahinpoh*,645075
148,Andaman and Nicobar Islands,Nicobars,Nancowry,Knot,645122
149,Andaman and Nicobar Islands,Nicobars,Nancowry,Kuikua*,645134
150,Andaman and Nicobar Islands,Nicobars,Nancowry,Kuitasuk,645031
151,Andaman and Nicobar Islands,Nicobars,Nancowry,Kulatapangia*,645061
152,Andaman and Nicobar Islands,Nicobars,Nancowry,Kumikia*,645055
153,Andaman and Nicobar Islands,Nicobars,Nancowry,Kupinga*,645078
154,Andaman and Nicobar Islands,Nicobars,Nancowry,Lanuanga*,645092
155,Andaman and Nicobar Islands,Nicobars,Nancowry,Lapat*,645086
156,Andaman and Nicobar Islands,Nicobars,Nancowry,Luxi,645037
157,Andaman and Nicobar Islands,Nicobars,Nancowry,Malacca*,645095
158,Andaman and Nicobar Islands,Nicobars,Nancowry,Manjula*,645106
159,Andaman and Nicobar Islands,Nicobars,Nancowry,Mapayala*,645064
160,Andaman and Nicobar Islands,Nicobars,Nancowry,Maru*,645112
161,Andaman and Nicobar Islands,Nicobars,Nancowry,Masala Tapu*,645120
162,Andaman and Nicobar Islands,Nicobars,Nancowry,Mavatapis/Maratapia*,645049
163,Andaman and Nicobar Islands,Nicobars,Nancowry,Meenakshi Ram Nagar,645081
164,Andaman and Nicobar Islands,Nicobars,Nancowry,Mildera,645079
165,Andaman and Nicobar Islands,Nicobars,Nancowry,Minyuk,645041
166,Andaman and Nicobar Islands,Nicobars,Nancowry,Mohreak/Kohreakap*,645133
167,Andaman and Nicobar Islands,Nicobars,Nancowry,Munak incl. Ponioo/Moul,645125
168,Andaman and Nicobar Islands,Nicobars,Nancowry,Mus*,645088
169,Andaman and Nicobar Islands,Nicobars,Nancowry,Neang*,645090
170,Andaman and Nicobar Islands,Nicobars,Nancowry,Neeche Tapu*,645105
171,Andaman and Nicobar Islands,Nicobars,Nancowry,Nyicalang*,645132
172,Andaman and Nicobar Islands,Nicobars,Nancowry,Okiya/Chiya*,645107
173,Andaman and Nicobar Islands,Nicobars,Nancowry,Olinpon/Alhinpon*,645108
174,Andaman and Nicobar Islands,Nicobars,Nancowry,Ongulongho*,645058
175,Andaman and Nicobar Islands,Nicobars,Nancowry,Payak*,645089
176,Andaman and Nicobar Islands,Nicobars,Nancowry,Payuha,645124
177,Andaman and Nicobar Islands,Nicobars,Nancowry,Pilpilow,645104
178,Andaman and Nicobar Islands,Nicobars,Nancowry,Raihion,645032
179,Andaman and Nicobar Islands,Nicobars,Nancowry,Ramzoo*(Ramjaw),645126
180,Andaman and Nicobar Islands,Nicobars,Nancowry,Reakomlong*,645070
181,Andaman and Nicobar Islands,Nicobars,Nancowry,Safedbalu*,645135
182,Andaman and Nicobar Islands,Nicobars,Nancowry,Safedbalu*,645040
183,Andaman and Nicobar Islands,Nicobars,Nancowry,Sanaya*,645051
184,Andaman and Nicobar Islands,Nicobars,Nancowry,Sonomkuwa*,645071
185,Andaman and Nicobar Islands,Nicobars,Nancowry,Tahaila,645028
186,Andaman and Nicobar Islands,Nicobars,Nancowry,Tanae*,645114
187,Andaman and Nicobar Islands,Nicobars,Nancowry,Tani*,645067
188,Andaman and Nicobar Islands,Nicobars,Nancowry,Tapani/Tapainy*,645098
189,Andaman and Nicobar Islands,Nicobars,Nancowry,Tapiang*,645138
190,Andaman and Nicobar Islands,Nicobars,Nancowry,Tapong incl. Kabila,645091
191,Andaman and Nicobar Islands,Nicobars,Nancowry,Tavinkin/Tavakin*,645072
192,Andaman and Nicobar Islands,Nicobars,Nancowry,Tillang Chong Island*,645033
193,Andaman and Nicobar Islands,Nicobars,Nancowry,Tomae/Inmae*,645118
194,Andaman and Nicobar Islands,Nicobars,Nancowry,Trinket*,645137
195,Andaman and Nicobar Islands,Nicobars,Nancowry,Uper Tapu*,645103
196,Andaman and Nicobar Islands,Nicobars,Nancowry,Upper Katchal,645080
197,Andaman and Nicobar Islands,Nicobars,Nancowry,Vikas Nagar,645130
198,Andaman and Nicobar Islands,Nicobars,Nancowry,Vyavtapu*,645062
199,Andaman and Nicobar Islands,Nicobars,Nancowry,W.B.Katchal/Hindra*,645084
200,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Aam Tikry (FDCA)              ,645280
201,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Aerial Bay (RV),645227
202,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Amber Chad (EFA),645253
203,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Austin Creek (FDCA)          ,645282
204,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Austin II (EFA),645287
205,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Austin IX (FC),645285
206,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Bali Nallaha (EFA),645269
207,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Bamboo Nallaha (EFA),645270
208,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Bamboo Nallaha (EFA)       ,645284
209,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Bandhan Nallaha (EFA),645249
210,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Bara Dabla (EFA),645277
211,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Baskata Nallaha (EFA),645267
212,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Beach Dera (EFA),645247
213,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Borang (RV),645240
214,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Burmachad (EFA),645258
215,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Coffe Dera (EFA),645248
216,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Curlew Island (FCPA),645290
217,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Deshbandhugram (RV),645217
218,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Diglipur (RV),645223
219,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Durgapur (RV),645228
220,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,East Island (Police post & Light house),645243
221,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Elezabeth Bay (EFA),645246
222,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Gandhi Nagar (EFA),645255
223,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Gandhi Nagar (Forest Beat),645256
224,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Ganesh Nagar (EFA),645252
225,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Ganna Dabla (EFA),645281
226,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Ganna Level (EFA),645272
227,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Hara Tikry (EFA),645286
228,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Haran Nallaha (EFA),645259
229,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Haridas Kattai (EFA),645250
230,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Hoari Bay (EFA),645278
231,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Jagannath Dera (RV),645238
232,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Kalighat (RV),645237
233,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Kalipur (RV),645230
234,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Karen Basti (EFA),645245
235,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Keralapuram (RV),645226
236,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Khudirampur (EFA),645264
237,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Khudirampur (RV),645231
238,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Kishori Nagar (RV),645234
239,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Krishnapuri (RV),645219
240,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Lamiya Bay (EFA),645265
241,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Lamiya Bay (WLS),645266
242,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Land Fall Island (Police post),645292
243,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Laxmipur (EFA),645260
244,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Laxmipur (RV),645216
245,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Madhupur (RV),645218
246,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Madhyamgram (RV),645235
247,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Milangram (RV),645215
248,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Mohanpur (RV),645241
249,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Mutha Nallaha (EFA),645268
250,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Nabagram (RV),645232
251,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Narayan Tikri (EFA),645273
252,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Narcondam Island (Police post),645244
253,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Narkul Danga (EFA),645275
254,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Nischintapur (RV),645236
255,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Paranghara (RV),645233
256,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Paschimsagar (EFA),645261
257,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Pathi Level (EFA),645276
258,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Pemaiahdera (FDCA)            ,645274
259,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Pilone Nallaha (FDCA),645279
260,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Rabindrapalli (RV),645221
261,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Radha Nagar (EFA),645257
262,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Radha Nagar (RV),645213
263,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Rahil (FDCA),645283
264,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Ramakrishnagram (RV),645224
265,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Ramnagar (RV),645239
266,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Sagar Dweep (RV),645242
267,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Santi Nagar (EFA),645254
268,Andaman and Nicobar Islands,North  & Middle Andaman,Diglipur,Shibpur (RV),645229
